shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10008,45.528926,-73.689367,80002,19.597
S10008,45.528930,-73.689207,80003,19.610
S10008,45.528933,-73.689047,80004,19.622
S10008,45.528935,-73.688786,80005,19.642
S10008,45.528929,-73.688525,80006,19.663
S10008,45.528917,-73.688264,80007,19.683
S10008,45.528899,-73.688004,80008,19.704
S10008,45.528897,-73.687979,80009,19.706
S10008,45.528895,-73.687954,80010,19.708
S10008,45.528893,-73.687928,80011,19.710
S10008,45.528890,-73.687903,80012,19.712
S10008,45.528888,-73.687878,80013,19.713
S10008,45.528886,-73.687853,80014,19.715
S10008,45.528883,-73.687827,80015,19.718
S10008,45.528880,-73.687801,80016,19.720
S10008,45.528879,-73.687777,80017,19.721
S10008,45.528876,-73.687750,80018,19.724
S10008,45.528834,-73.687363,80019,19.754
S10008,45.528785,-73.686979,80020,19.785
S10008,45.528729,-73.686596,80021,19.815
S10008,45.528667,-73.686214,80022,19.846
S10008,45.528597,-73.685837,80023,19.876
S10008,45.528521,-73.685460,80024,19.907
S10008,45.528438,-73.685087,80025,19.937
S10008,45.528348,-73.684717,80026,19.968
S10008,45.528252,-73.684350,80027,19.999
S10008,45.528194,-73.684143,80028,20.016
S10008,45.528135,-73.683934,80029,20.034
S10008,45.527836,-73.682884,80030,20.122
S10008,45.527777,-73.682681,80031,20.139
S10008,45.527700,-73.682409,80032,20.162
S10008,45.527700,-73.682409,80033,20.162
S10008,45.527488,-73.681667,80034,20.225
S10008,45.527207,-73.680692,80035,20.307
S10008,45.526927,-73.679718,80036,20.389
S10008,45.526709,-73.678960,80037,20.453
S10008,45.525358,-73.674267,80038,20.849
S10008,45.525017,-73.673083,80039,20.949
S10008,45.524853,-73.672513,80040,20.997
S10008,45.524853,-73.672513,90001,20.997
S10008,45.524406,-73.670960,90002,21.128
S10008,45.524230,-73.670354,90003,21.180
S10008,45.524134,-73.670021,90004,21.208
S10008,45.523927,-73.669311,90005,21.268
S10008,45.523819,-73.668942,90006,21.299
S10008,45.523669,-73.668429,90007,21.343
S10008,45.523520,-73.667913,90008,21.386
S10008,45.523203,-73.666823,90009,21.478
S10008,45.523008,-73.666148,90010,21.535
S10008,45.522579,-73.664635,90011,21.663
S10008,45.522419,-73.664071,90012,21.710
S10008,45.522260,-73.663507,90013,21.758
S10008,45.521967,-73.662474,90014,21.845
S10008,45.521801,-73.661887,90015,21.894
